# food_fibers.csv, junction food -> fiber type, with coarse per-serving grams (SPEC §5). Composite PK (food_id,fiber_id).
# relative_amount enum: minor|moderate|primary (the food's contribution of THAT fiber).
#
# 🔒 FENCE 4 (SPEC §14): est_grams_per_serving is COARSE, DIRECTIONAL placeholder data for a single fiber
#    FRACTION (not total dietary fiber), RD-REVIEW-REQUIRED. The app must never surface these as precise
#    measured grams ("never 12.3g inulin", SPEC §1/§3). Specific fiber-fraction grams (e.g. grams of inulin
#    in garlic) are estimates, not measured USDA values; treat as gaps to be validated, not facts.
# Source (directional): USDA FoodData Central total dietary fiber; framework §5 fiber->source map;
#    published inulin/beta-glucan content ranges (van Loo et al. for inulin/FOS; Monash for FODMAP fibers).
# Format: pipe-delimited. food|fiber|relative_amount|est_grams_per_serving
food|fiber|relative_amount|est_grams_per_serving
English Muffin|arabinoxylan|primary|1.5
Enoki Mushroom|arabinoxylan|minor|0.3
Enoki Mushroom|beta_glucan|primary|1.2
Farro|arabinoxylan|primary|3.2
Farro|beta_glucan|minor|0.5
Farro|rs3|minor|0.4
Fava Beans|fos|minor|0.4
Fava Beans|pectin|moderate|1
Fava Beans|rs3|primary|2.2
Fennel Seeds|arabinoxylan|primary|0.6
Fennel|arabinoxylan|moderate|0.6
Fennel|inulin|minor|0.2
Fennel|pectin|primary|1
Fenugreek Seeds|gos|minor|0.3
Fenugreek Seeds|mucilage|primary|1.8
Fermented Pickles|pectin|primary|0.4
Fig|arabinoxylan|moderate|0.5
Fig|mucilage|minor|0.2
Fig|pectin|primary|1
Flaxseed|cellulose|moderate|1.1
Flaxseed|mucilage|primary|3.0
Flour Tortilla|arabinoxylan|primary|0.8
Flour Tortilla|cellulose|moderate|0.5
Flour Tortilla|rs3|minor|0.2
Freekeh|arabinoxylan|primary|4
Freekeh|rs3|moderate|1
Fried Ripe Plantain|pectin|primary|1.2
Fried Ripe Plantain|rs3|minor|0.3
Garam Masala|arabinoxylan|minor|0.2
Garlic|fos|moderate|1.0
Garlic|inulin|primary|2.0
Ginger|arabinoxylan|primary|0.5
Ginger|mucilage|minor|0.1
Ginger|pectin|moderate|0.3
Gochujang|rs3|minor|0.2
Goji Berry|arabinoxylan|minor|0.4
Goji Berry|pectin|primary|0.8
Gooseberry|arabinoxylan|minor|0.5
Gooseberry|pectin|primary|2.2
Granola|arabinoxylan|moderate|0.8
Granola|beta_glucan|primary|1.5
Granola|rs3|minor|0.2
Grapefruit|arabinoxylan|minor|0.4
Grapefruit|cellulose|moderate|0.5
Grapefruit|pectin|primary|1.6
Grape|cellulose|primary|0.8
Green Beans|arabinoxylan|minor|0.5
Green Beans|cellulose|moderate|0.8
Green Beans|pectin|primary|1.2
Green Beans|rs2|minor|0.2
Green Olives|pectin|primary|0.5
Green banana|rs2|primary|4.5
Green pea|cellulose|primary|3.2
Green pea|gos|moderate|1.2
Grits|arabinoxylan|primary|1
Grits|rs3|minor|0.3
Guava|arabinoxylan|minor|0.5
Guava|pectin|primary|2.8
Habanero Pepper|pectin|primary|0.2
Hazelnut|cellulose|primary|2.7
Hearts of Palm|arabinoxylan|minor|0.5
Hearts of Palm|pectin|moderate|0.9
Hemp Seeds|arabinoxylan|primary|1.2
Honeydew Melon|pectin|primary|0.7
Horseradish|pectin|minor|0.1
Hummus|cellulose|moderate|1.2
Hummus|fos|moderate|0.9
Hummus|pectin|minor|0.5
Hummus|rs2|minor|0.4
Iceberg Lettuce|arabinoxylan|minor|0.2
Iceberg Lettuce|cellulose|moderate|0.3
Iceberg Lettuce|pectin|primary|0.5
Jackfruit|pectin|primary|1.5
Jackfruit|rs2|minor|0.5
Jerusalem artichoke|inulin|primary|6.0
Kalamata Olives|pectin|primary|0.5
Kale|cellulose|primary|2.5
Ketchup|pectin|primary|0.2
Kidney bean|cellulose|primary|7.6
Kidney bean|gos|primary|2.0
Kimchi|cellulose|primary|1.0
Kiwi|cellulose|primary|2.2
Kohlrabi|arabinoxylan|minor|0.6
Kohlrabi|pectin|moderate|0.9
Leek|fos|minor|0.5
Leek|inulin|moderate|1.5
Lemon|pectin|moderate|1.0
Lentil|cellulose|primary|4.2
Lentil|gos|moderate|1.8
Lima Beans|fos|minor|0.5
Lima Beans|pectin|moderate|1.2
Lima Beans|rs3|primary|2.5
Lime|arabinoxylan|minor|0.2
Lime|pectin|primary|0.9
Lychee|arabinoxylan|minor|0.3
Lychee|pectin|primary|0.9
Macadamia Nut|arabinoxylan|minor|0.5
Macadamia Nut|pectin|minor|0.4
Maitake Mushroom|arabinoxylan|minor|0.3
Maitake Mushroom|beta_glucan|primary|1.8
Mandarin Orange|arabinoxylan|minor|0.3
Mandarin Orange|pectin|primary|1.2
Mango|arabinoxylan|moderate|0.8
Mango|cellulose|minor|0.3
Mango|fos|minor|0.3
Mango|pectin|primary|1.2
Microgreens|arabinoxylan|minor|0.1
Microgreens|pectin|moderate|0.3
Milk Chocolate|inulin|minor|0.3
Millet|arabinoxylan|minor|0.7
Mint|arabinoxylan|minor|0.1
Mint|pectin|primary|0.2
Miso|arabinoxylan|primary|0.4
Miso|rs3|minor|0.1
Muesli|arabinoxylan|moderate|1
Muesli|beta_glucan|primary|1.8
Muesli|pectin|minor|0.3
Mulberry|arabinoxylan|minor|0.5
Mulberry|pectin|primary|1.2
Mung Beans|arabinoxylan|minor|1
Mung Beans|gos|moderate|2.5
Mung Beans|pectin|minor|1
Mung Beans|rs3|moderate|3
Mustard Seeds|arabinoxylan|minor|0.2
Mustard Seeds|mucilage|primary|0.6
Mustard|mucilage|primary|0.2
Naan|arabinoxylan|primary|1.2
Naan|rs3|minor|0.3
Napa Cabbage|arabinoxylan|minor|0.3
Napa Cabbage|pectin|moderate|0.5
Natto|cellulose|primary|2.4
Nectarine|arabinoxylan|minor|0.4
Nectarine|pectin|primary|1.1
Nori|mucilage|primary|0.25
Nori|pectin|minor|0.07
Nutmeg|arabinoxylan|primary|0.2
Nutmeg|pectin|minor|0.1
Oat Milk|beta_glucan|primary|0.5
Oats|arabinoxylan|minor|0.8
Oats|beta_glucan|primary|3.0
Oats|rs2|minor|0.5
Okra|mucilage|primary|2.0
Olives|pectin|primary|0.5
Onion|fos|moderate|1.0
Onion|inulin|moderate|1.2
Orange Juice|pectin|minor|0.3
Orange|cellulose|primary|1.6
Orange|pectin|moderate|1.5
Oregano|arabinoxylan|primary|0.5
Oregano|mucilage|minor|0.1
Oregano|pectin|moderate|0.2
Oyster mushroom|beta_glucan|moderate|1.0
Papaya|arabinoxylan|minor|0.3
Papaya|pectin|primary|1.5
Parsley|arabinoxylan|minor|0.1
Parsley|pectin|minor|0.1
Parsnip|arabinoxylan|minor|0.3
Parsnip|fos|moderate|1
Parsnip|inulin|primary|2.2
Parsnip|pectin|minor|0.5
Passion Fruit|arabinoxylan|minor|0.3
Passion Fruit|pectin|moderate|0.9
Pasta|arabinoxylan|primary|1.5
Pasta|cellulose|moderate|0.5
Pasta|rs3|minor|0.5
Peach|arabinoxylan|minor|0.4
Peach|cellulose|moderate|0.6
Peach|pectin|primary|1.2
Peanut|cellulose|primary|1.8
Peanut|gos|minor|0.6
Pear|cellulose|primary|3.7
Pear|pectin|moderate|1.4
Pecan|arabinoxylan|primary|1.2
Pecan|cellulose|moderate|0.6
Pecan|pectin|moderate|0.6
Pecan|rs2|minor|0.3
Persimmon|arabinoxylan|minor|0.5
Persimmon|pectin|primary|2.5
Pine Nuts|arabinoxylan|primary|1
Pineapple|arabinoxylan|moderate|0.6
Pineapple|cellulose|moderate|0.5
Pineapple|inulin|minor|0.2
Pineapple|pectin|primary|1
Pinto Beans|cellulose|minor|1.5
Pinto Beans|gos|moderate|1.5
Pinto Beans|pectin|moderate|2
Pinto Beans|rs3|primary|4
Pistachio|arabinoxylan|primary|1.5
Pistachio|cellulose|minor|0.4
Pistachio|fos|moderate|0.7
Pistachio|pectin|minor|0.4
Pita Bread|arabinoxylan|primary|1
Pita Bread|rs3|minor|0.3
Plum|pectin|primary|1
Plum|rs2|minor|0.2
Plum|sorbitol|moderate|0.7
Poblano Pepper|arabinoxylan|minor|0.5
Poblano Pepper|pectin|primary|1.4
Polenta|arabinoxylan|primary|1.5
Polenta|rs3|minor|0.5
Pomegranate|arabinoxylan|moderate|0.8
Pomegranate|cellulose|minor|0.5
Pomegranate|mucilage|minor|0.3
Pomegranate|pectin|primary|1.8
Popcorn|arabinoxylan|primary|2
Popcorn|cellulose|moderate|1.6
Popcorn|rs2|minor|0.5
Poppy Seeds|arabinoxylan|minor|0.2
Poppy Seeds|mucilage|primary|0.7
Porcini Mushroom|arabinoxylan|minor|0.4
Porcini Mushroom|beta_glucan|primary|1.3
Portobello Mushroom|arabinoxylan|minor|0.4
Portobello Mushroom|beta_glucan|primary|1.5
Potato|cellulose|moderate|1.6
Potato|rs3|moderate|2.0
Pretzels|arabinoxylan|primary|0.8
Prune|pectin|primary|2.5
Prune|rs2|minor|0.4
Prune|sorbitol|moderate|1.5
Pumpkin seed|arabinoxylan|primary|1.2
Pumpkin seed|mucilage|moderate|0.6
Pumpkin seed|pectin|minor|0.2
Pumpkin|arabinoxylan|moderate|0.6
Pumpkin|beta_glucan|minor|0.2
Pumpkin|pectin|primary|1.2
Purple sweet potato|arabinoxylan|minor|0.4
Purple sweet potato|inulin|minor|0.4
Purple sweet potato|pectin|primary|1.4
Purple sweet potato|rs2|minor|0.5
Purple sweet potato|rs3|moderate|0.9
Quinoa|arabinoxylan|primary|2
Quinoa|beta_glucan|minor|0.5
Quinoa|cellulose|minor|0.7
Quinoa|rs3|moderate|1
Radicchio|inulin|primary|2
Radicchio|pectin|minor|0.5
Radish|arabinoxylan|minor|0.2
Radish|pectin|primary|0.5
Raisin|arabinoxylan|minor|0.5
Raisin|pectin|primary|1
Raspberry|arabinoxylan|moderate|1.2
Raspberry|cellulose|minor|0.9
Raspberry|fos|minor|0.3
Raspberry|pectin|primary|2.5
Red Bell Pepper|arabinoxylan|minor|0.4
Red Bell Pepper|pectin|primary|1.2
Rhubarb|arabinoxylan|minor|0.4
Rhubarb|pectin|primary|1.4
Rice Cakes|rs3|primary|0.2
Rice Noodles|rs3|primary|0.8
Romaine lettuce|arabinoxylan|moderate|0.3
Romaine lettuce|fos|minor|0.2
Romaine lettuce|pectin|primary|0.5
Romanesco|arabinoxylan|minor|0.5
Romanesco|pectin|moderate|0.8
Rosemary|arabinoxylan|primary|0.2
Rosemary|pectin|minor|0.1
Rutabaga|arabinoxylan|minor|0.8
Rutabaga|pectin|primary|1.4
Rye|arabinoxylan|primary|3.0
Sauerkraut|arabinoxylan|moderate|0.4
Sauerkraut|fos|minor|0.1
Sauerkraut|pectin|primary|0.6
Serrano Pepper|pectin|primary|0.3
Sesame seed|arabinoxylan|primary|0.6
Sesame seed|mucilage|moderate|0.4
Sesame seed|pectin|minor|0.1
Shallot|inulin|moderate|1.3
Shiitake mushroom|beta_glucan|moderate|1.2
Snow Peas|arabinoxylan|minor|0.4
Snow Peas|pectin|moderate|0.8
Snow Peas|rs2|minor|0.3
Soba Noodles|arabinoxylan|primary|2
Soba Noodles|rs3|minor|0.5
Sorghum|arabinoxylan|minor|0.8
Sourdough bread|arabinoxylan|primary|1.2
Sourdough bread|beta_glucan|minor|0.2
Sourdough bread|rs3|moderate|0.5
Soy Milk|gos|primary|0.8
Soybean|cellulose|primary|6.3
Soybean|gos|moderate|1.5
Spelt|arabinoxylan|primary|3.8
Spelt|beta_glucan|minor|0.4
Spelt|rs3|minor|0.4
Spinach|cellulose|primary|0.7
Spinach|pectin|minor|0.6
Split Peas|cellulose|moderate|6.3
Split Peas|gos|moderate|2
Split Peas|pectin|moderate|3
Split Peas|rs3|primary|5
Spring onion|fos|primary|0.5
Spring onion|inulin|moderate|0.3
Spring onion|pectin|minor|0.1
Strawberry|arabinoxylan|moderate|0.5
Strawberry|fos|minor|0.3
Strawberry|pectin|primary|1.2
Sugar Snap Peas|arabinoxylan|minor|0.5
Sugar Snap Peas|pectin|moderate|0.9
Sugar Snap Peas|rs2|minor|0.4
Sumac|arabinoxylan|minor|0.2
Sumac|pectin|primary|0.5
Sun-Dried Tomato|pectin|primary|0.8
Sunflower Seed Butter|arabinoxylan|primary|1.5
Sunflower Seed Butter|mucilage|minor|0.4
Sunflower seed|arabinoxylan|primary|1.5
Sunflower seed|mucilage|minor|0.3
Sunflower seed|pectin|moderate|0.8
Sweet potato|arabinoxylan|moderate|0.7
Sweet potato|cellulose|minor|0.5
Sweet potato|inulin|minor|0.4
Sweet potato|pectin|primary|1.5
Sweet potato|rs3|moderate|0.8
Swiss chard|arabinoxylan|moderate|0.5
Swiss chard|mucilage|minor|0.2
Swiss chard|pectin|primary|0.9
Teff|arabinoxylan|primary|3.5
Teff|rs3|moderate|1.5
Tempeh|arabinoxylan|moderate|1.2
Tempeh|pectin|minor|0.5
Tempeh|rs3|primary|2.5
Thyme|arabinoxylan|primary|0.5
Thyme|pectin|minor|0.2
Tofu|pectin|minor|0.2
Tofu|rs3|primary|0.5
Tomatillo|arabinoxylan|minor|0.4
Tomatillo|pectin|primary|1.5
Tomato|arabinoxylan|moderate|0.5
Tomato|mucilage|minor|0.2
Tomato|pectin|primary|0.9
Turmeric|arabinoxylan|minor|0.3
Turmeric|mucilage|minor|0.3
Turmeric|pectin|minor|0.2
Turnip|arabinoxylan|moderate|0.6
Turnip|gos|minor|0.3
Turnip|pectin|primary|1
Udon Noodles|arabinoxylan|primary|1.5
Udon Noodles|rs3|minor|0.4
Vanilla Bean|arabinoxylan|minor|0.1
Wakame|mucilage|primary|0.3
Wakame|pectin|minor|0.1
Walnut|arabinoxylan|primary|1
Walnut|pectin|moderate|0.5
Walnut|rs2|minor|0.3
Water Chestnut|arabinoxylan|minor|0.6
Water Chestnut|pectin|moderate|1
Watercress|arabinoxylan|moderate|0.2
Watercress|gos|minor|0.1
Watercress|pectin|primary|0.3
Watermelon Radish|arabinoxylan|minor|0.3
Watermelon Radish|pectin|primary|0.8
Watermelon|cellulose|moderate|0.5
Watermelon|pectin|primary|0.6
White Bread|arabinoxylan|primary|0.6
White Bread|cellulose|primary|0.8
White Rice|rs3|primary|0.6
White bean|gos|moderate|1.8
White mushroom|beta_glucan|moderate|1.0
Whole Grain Bread|arabinoxylan|primary|2
Whole Grain Bread|beta_glucan|minor|0.3
Whole Grain Bread|cellulose|moderate|1.1
Whole Wheat Pasta|arabinoxylan|primary|3.5
Whole Wheat Pasta|beta_glucan|minor|0.3
Whole Wheat Pasta|cellulose|moderate|1.7
Whole Wheat Pasta|rs3|moderate|0.8
Whole wheat|arabinoxylan|primary|2.5
Whole wheat|fos|minor|0.5
Wild Rice|arabinoxylan|primary|1.8
Wild Rice|rs3|moderate|0.8
Za'atar|arabinoxylan|minor|0.3
Za'atar|pectin|minor|0.1
Zucchini|arabinoxylan|minor|0.3
Zucchini|mucilage|minor|0.2
Zucchini|pectin|primary|0.6
