# food_guild_feeds.csv, junction food -> microbial guild it feeds, with relevance (SPEC §5, §8; framework §4-5 fiber->guild map).
# relevance enum: minor|moderate|primary. Drives the guild bloom math (SPEC §13: portion_weight x relevance).
# guild key = guilds.internal_name. Every guild has at least one feeder. recycling_engine is fed INDIRECTLY
#   (framework: it eats Base Layer output) so it carries minor links to strong Base-Layer foods.
# stone_breakers are FED BY oxalate-rich foods (the substrate they degrade), a niche/clean food->function link.
# Source: framework §4 (guild feeds_copy) and §5 (fiber->guild table); polyphenol/lignan/isoflavone food sources per Phenol-Explorer.
# Format: pipe-delimited. food|guild|relevance
food|guild|relevance
Rhubarb|recycling_engine|minor
Romaine lettuce|vitamin_lab|moderate
Romanesco|tumor_preventors|moderate
Rutabaga|tumor_preventors|minor
Rye|appetite_crew|moderate
Rye|tumor_preventors|moderate
Sesame seed|mood_regulators|moderate
Sesame seed|tumor_preventors|moderate
Shallot|base_layer|moderate
Shiitake mushroom|appetite_crew|moderate
Skyr|knights_of_the_wall|moderate
Soy Milk|base_layer|minor
Soybean|base_layer|moderate
Soybean|estrogen_regulators|primary
Soybean|mood_regulators|moderate
Spelt|base_layer|moderate
Spinach|stone_breakers|moderate
Spinach|vitamin_lab|moderate
Split Peas|base_layer|primary
Split Peas|recycling_engine|moderate
Spring onion|base_layer|minor
Strawberry|mitochondria_boosters|moderate
Sun-Dried Tomato|tumor_preventors|moderate
Sunflower seed|mood_regulators|moderate
Swiss chard|stone_breakers|moderate
Swiss chard|vitamin_lab|minor
Teff|base_layer|moderate
Tempeh|estrogen_regulators|primary
Tofu|estrogen_regulators|moderate
Tofu|mood_regulators|moderate
Walnut|mitochondria_boosters|primary
Watermelon Radish|tumor_preventors|minor
White mushroom|appetite_crew|moderate
Whole Grain Bread|base_layer|minor
Whole Wheat Pasta|base_layer|moderate
Whole wheat|appetite_crew|moderate
Whole wheat|base_layer|minor
Wild Rice|base_layer|moderate
