# food_phytochemicals.csv, junction food -> named phytochemical (SPEC §5, §8 Phytochemical pokedex). Composite PK (food_id,phytochemical_id).
# Compounds are mostly camera-invisible, so credited via food-ID -> database lookup (framework §5).
# Only well-established food->compound associations are included; uncertain ones are left out rather than guessed (CLAUDE.md #9).
# Source: USDA Database for the Flavonoid Content of Foods; USDA carotenoid tables; Phenol-Explorer.
# Format: pipe-delimited. food|phytochemical
food|phytochemical
Passion Fruit|beta_carotene
Passion Fruit|quercetin
Peach|beta_carotene
Peach|chlorogenic_acid
Peach|quercetin
Persimmon|beta_carotene
Persimmon|catechin
Pine Nuts|beta_sitosterol
Pineapple|naringenin
Pinto Beans|kaempferol
Pinto Beans|quercetin
Pistachio|lutein
Plum|anthocyanin
Plum|chlorogenic_acid
Poblano Pepper|beta_carotene
Poblano Pepper|capsaicin
Poblano Pepper|quercetin
Polenta|beta_carotene
Polenta|lutein
Pomegranate|ellagic_acid
Pomegranate|punicalagin
Popcorn|beta_carotene
Popcorn|lutein
Potato|solanine
Prune|anthocyanin
Prune|chlorogenic_acid
Pumpkin|beta_carotene
Purple sweet potato|anthocyanin
Quinoa|quinoa_saponin
Radicchio|anthocyanin
Radicchio|quercetin
Radish|glucosinolate
Raisin|quercetin
Raisin|resveratrol
Raspberry|anthocyanin
Raspberry|ellagic_acid
Rhubarb|anthocyanin
Rhubarb|quercetin
Romaine lettuce|lutein
Romanesco|glucosinolate
Romanesco|kaempferol
Romanesco|sulforaphane
Rosemary|alpha_pinene
Rosemary|carnosic_acid
Rutabaga|beta_carotene
Rutabaga|glucosinolate
Sage|carnosic_acid
Sage|quercetin
Serrano Pepper|capsaicin
Serrano Pepper|quercetin
Sesame seed|secoisolariciresinol
Smoked Paprika|beta_carotene
Smoked Paprika|capsaicin
Snow Peas|beta_carotene
Snow Peas|kaempferol
Snow Peas|lutein
Soy Milk|genistein
Soybean|genistein
Soybean|stigmasterol
Spinach|chlorophyll
Spinach|chlorophyll_a
Spinach|chlorophyllin
Spinach|lutein
Spinach|zeaxanthin
Split Peas|kaempferol
Star Anise|kaempferol
Star Anise|quercetin
Strawberry|anthocyanin
Strawberry|ellagic_acid
Sugar Snap Peas|beta_carotene
Sugar Snap Peas|kaempferol
Sugar Snap Peas|lutein
Sumac|ellagic_acid
Sun-Dried Tomato|chlorogenic_acid
Sun-Dried Tomato|lycopene
Sunflower seed|beta_sitosterol
Sunflower seed|campesterol
Sweet potato|beta_carotene
Swiss chard|betanin
Swiss chard|indicaxanthin
Swiss chard|lutein
Tarragon|kaempferol
Tarragon|quercetin
Tempeh|genistein
Tofu|genistein
Tomatillo|beta_carotene
Tomatillo|quercetin
Tomato|lycopene
Turmeric|curcumin
Walnut|ellagic_acid
Watercress|glucosinolate
Watermelon Radish|anthocyanin
Watermelon Radish|glucosinolate
Watermelon|beta_carotene
Watermelon|lycopene
Wild Rice|anthocyanin
Wild Rice|lutein
Za'atar|kaempferol
Za'atar|quercetin
